,Localización,Precio m2 jul,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
58,Zamora,1.112 €/m2,"- 0,2 %","- 1,6 %","- 1,0 %",1.607 €/m2 mar 2011,"- 30,8 %"
59,Castilla-La Mancha,902 €/m2,"+ 0,1 %","+ 0,7 %","+ 1,0 %",1.424 €/m2 mayo 2007,"- 36,7 %"
60,Albacete provincia,1.079 €/m2,"+ 0,3 %","+ 0,4 %","+ 0,5 %",1.570 €/m2 abr 2008,"- 31,3 %"
61,Albacete,1.449 €/m2,"+ 0,6 %","+ 2,0 %","+ 4,2 %",1.852 €/m2 jun 2008,"- 21,8 %"
62,Ciudad Real provincia,752 €/m2,"+ 0,3 %","0,0 %","- 0,9 %",1.391 €/m2 jun 2007,"- 45,9 %"
63,Ciudad Real,1.193 €/m2,"+ 0,9 %","+ 1,4 %","+ 4,1 %",1.877 €/m2 abr 2008,"- 36,5 %"
64,Cuenca provincia,788 €/m2,"+ 0,3 %","+ 1,7 %","+ 0,1 %",1.109 €/m2 ago 2008,"- 28,9 %"
65,Cuenca,1.267 €/m2,"+ 0,6 %","+ 1,8 %","+ 14,0 %",1.674 €/m2 mar 2010,"- 24,3 %"
66,Guadalajara provincia,1.200 €/m2,"+ 0,2 %","+ 1,4 %","+ 5,1 %",1.661 €/m2 jun 2007,"- 27,8 %"
67,Guadalajara,1.573 €/m2,"+ 0,6 %","+ 3,4 %","+ 6,1 %",2.137 €/m2 mayo 2008,"- 26,4 %"
68,Toledo provincia,848 €/m2,"- 0,1 %","+ 0,2 %","- 0,3 %",1.465 €/m2 nov 2006,"- 42,1 %"
69,Toledo,1.475 €/m2,"+ 1,1 %","+ 3,5 %","+ 2,5 %",2.067 €/m2 mayo 2008,"- 28,6 %"
70,Cataluña,2.353 €/m2,"- 0,4 %","+ 0,5 %","+ 2,1 %",2.677 €/m2 jun 2007,"- 12,1 %"
71,Barcelona provincia,2.687 €/m2,"- 0,3 %","0,0 %","0,0 %",2.883 €/m2 jun 2007,"- 6,8 %"
72,Barcelona,4.135 €/m2,"+ 0,1 %","+ 1,3 %","+ 2,6 %",4.310 €/m2 jun 2007,"- 4,0 %"
73,Girona provincia,2.238 €/m2,"- 0,5 %","+ 0,9 %","+ 4,6 %",2.522 €/m2 jun 2007,"- 11,2 %"
74,Girona,2.350 €/m2,"+ 0,5 %","+ 2,5 %","+ 3,8 %",2.623 €/m2 ago 2008,"- 10,4 %"
75,Lleida provincia,1.283 €/m2,"- 1,8 %","+ 1,2 %","+ 2,4 %",2.076 €/m2 ago 2007,"- 38,2 %"
76,Lleida,1.157 €/m2,"- 1,0 %","+ 2,0 %","+ 5,6 %",1.742 €/m2 abr 2009,"- 33,6 %"
77,Tarragona provincia,1.484 €/m2,"- 1,1 %","+ 0,8 %","+ 3,9 %",2.120 €/m2 oct 2006,"- 30,0 %"
78,Tarragona,1.838 €/m2,"- 0,7 %","+ 0,6 %","+ 2,6 %",2.550 €/m2 oct 2008,"- 27,9 %"
79,Ceuta,2.162 €/m2,"+ 0,5 %","- 1,0 %","+ 16,8 %",2.248 €/m2 ene 2021,"- 3,8 %"
80,Ceuta provincia,2.162 €/m2,"+ 0,5 %","- 1,0 %","+ 16,8 %",2.248 €/m2 ene 2021,"- 3,8 %"
81,Comunitat Valenciana,1.727 €/m2,"+ 0,2 %","+ 2,6 %","+ 10,5 %",1.998 €/m2 feb 2006,"- 13,6 %"
82,Alicante/Alacant,2.000 €/m2,"+ 0,4 %","+ 3,4 %","+ 11,6 %",2.184 €/m2 feb 2006,"- 8,4 %"
83,Alicante / Alacant,1.796 €/m2,"+ 0,4 %","+ 2,2 %","+ 15,8 %",1.867 €/m2 mayo 2007,"- 3,8 %"
84,Castellón/Castelló,1.177 €/m2,"- 0,2 %","0,0 %","+ 3,8 %",1.953 €/m2 jul 2007,"- 39,7 %"
85,Castellón de la Plana / Castello de la Plana,1.198 €/m2,"- 1,0 %","- 1,5 %","- 0,6 %",1.831 €/m2 ene 2008,"- 34,6 %"
86,Valencia/Valéncia,1.362 €/m2,"+ 0,4 %","+ 2,1 %","+ 8,0 %",1.943 €/m2 oct 2006,"- 29,9 %"
87,València,2.247 €/m2,"+ 0,9 %","+ 4,4 %","+ 13,0 %",2.388 €/m2 feb 2008,"- 5,9 %"
88,Euskadi,2.821 €/m2,"+ 0,3 %","+ 0,3 %","+ 3,7 %",3.255 €/m2 abr 2011,"- 13,3 %"
89,Álava,2.267 €/m2,"- 0,7 %","- 0,6 %","+ 2,3 %",2.490 €/m2 ene 2011,"- 9,0 %"
90,Vitoria-Gasteiz,2.541 €/m2,"- 0,3 %","+ 0,1 %","+ 2,7 %",2.975 €/m2 oct 2008,"- 14,6 %"
91,Guipúzcoa,3.422 €/m2,"+ 0,8 %","+ 0,5 %","+ 4,2 %",3.507 €/m2 mayo 2011,"- 2,4 %"
92,Donostia-San Sebastián,5.226 €/m2,"+ 0,7 %","+ 1,0 %","+ 2,7 %",5.226 €/m2 jul 2023,"0,0 %"
93,Vizcaya,2.732 €/m2,"+ 0,1 %","+ 0,1 %","+ 2,9 %",3.360 €/m2 abr 2011,"- 18,7 %"
94,Bilbao,3.153 €/m2,"- 0,6 %","- 0,9 %","+ 2,7 %",3.591 €/m2 mayo 2011,"- 12,2 %"
95,Extremadura,949 €/m2,"- 0,5 %","- 0,7 %","+ 1,4 %",1.217 €/m2 abr 2011,"- 22,1 %"
96,Badajoz provincia,973 €/m2,"- 0,9 %","+ 0,2 %","+ 1,3 %",1.278 €/m2 abr 2011,"- 23,8 %"
97,Badajoz,1.398 €/m2,"- 0,3 %","+ 0,7 %","+ 6,5 %",1.719 €/m2 abr 2008,"- 18,7 %"
