Municipio,Provincia,Habitantes(2022),CarrilBici,Preciosalquiler,DistanciaaMadrid(km),TiempomediodeviajeaMadridencoche,TiempomediodeviajeaMadridentrenoautobús,DistanciaaBarcelona(km),TiempomediodeviajeaBarcelonaencoche,TiempomediodeviajeaBarcelonaentrenoautobús,AeropuertoInternacionalmáscercano,Númerodeconexionesdelaeropuertointernacionalmáscercano,Distanciaalaeropuertointernacionalmáscercano(km),Temperaturamáximamedia(ºC),Temperaturamínimamedia(ºC),Preciomediovivienda(EUR/m2),PatrimoniodelaHumanidad,%díascalidaddelaireBuena,%díascalidaddelaireRazonablementeBuena,%díascalidaddelaireRegular,%díascalidaddelaireDesfavorable,%díascalidaddelaireMuyDesfavorable,%díascalidaddelaireExtremadamenteDesfavorable,Ponderacióncalidaddelaire,HorasdeSolmediasanuales,IDComunidadAutonoma
Rivas-Vaciamadrid,Madrid,96690,N/D,9.8,19,00:26:00,00:25:00,615,05:49:00,03:37:00,"Adolfo Suárez 
Madrid-Barajas",174,19.8,34,1,N/D,No,21,67,8,3,0,0,403,2691,9
Rubí,Barcelona,79007,N/D,11.4,611,06:02:00,03:48:00,24,00:26:00,01:20:00,"Josep Tarradellas
Barcelona-El Prat",170,28.8,29,2,N/D,No,27,66,6,11,0,0,417,2453,8
Sabadell,Barcelona,215760,78.8,10.6,623,06:11:00,03:15:00,26,00:35:00,00:36:00,"Josep Tarradellas
Barcelona-El Prat",170,38.0,29,2,N/D,No,78,21,0,2,0,0,474,2453,8
Salamanca,Salamanca,142412,31.5,8.6,214,02:16:00,01:40:00,832,08:08:00,11:19:00,Valladolid,6,127.0,30,0,1752,Sí,77,18,3,14,0,0,470,3262,7
San Fernando,Cádiz,94120,21.2,7.7,649,03:59:00,04:21:00,1111,10:53:00,12:00:00,Jerez,16,45.3,29,8,N/D,No,11,76,12,1,0,0,397,3316,1
San Sebastián,Gipuzkoa,187849,37.4,15.7,457,04:33:00,05:44:00,565,05:40:00,08:35:00,Bilbao,46,99.0,25,6,5191,No,48,45,3,N/D,0,0,437,1906,14
Sant Cugat del Vallès,Barcelona,95725,52,14.2,614,06:08:00,03:42:00,19,00:30:00,01:00:00,"Josep Tarradellas
Barcelona-El Prat",170,25.6,29,3,N/D,No,52,44,3,1,0,0,445,2453,8
Santa Coloma de Gramenet,Barcelona,117981,2.5,12.5,627,06:10:00,03:10:00,9,00:20:00,00:22:00,"Josep Tarradellas
Barcelona-El Prat",170,23.2,29,4,N/D,No,75,25,0,N/D,0,0,475,2453,8
Santa Cruz de Tenerife,Santa Cruz de Tenerife,208688,3.3,9.6,1950,1900-01-01 17:00:00,N/D,2425,45:00:00,N/D,Tenerife Norte-La Laguna,24,12.0,28,15,1716,No,9,72,6,0,2,4,367,3098,4
Santander,Cantabria,171693,19.2,9.3,455,04:19:00,05:53:00,703,06:50:00,09:45:00,"Seve Ballesteros-
Santander",23,5.6,23,6,1998,No,43,50,4,3,0,0,431,1639,5
Santiago de Compostela,A Coruña,98179,N/D,8.2,600,05:37:00,03:22:00,1085,11:00:00,13:00:00,Santiago-Rosalía de Castro,33,14.2,25,5,N/D,Sí,35,61,3,N/D,0,0,430,2453,13
Sevilla,Sevilla,681998,27.6,10.6,530,05:02:00,02:42:00,994,09:58:00,11:06:00,Sevilla,70,8.8,36,6,2151,No,43,53,4,0,0,0,439,3526,1
Talavera de la Reina,Toledo,83247,12,5.8,123,01:18:00,01:20:00,741,07:08:00,09:49:00,"Adolfo Suárez 
Madrid-Barajas",174,139.0,35,2,N/D,Sí,28,60,7,0,0,0,409,2815,6
Tarragona,Tarragona,134883,N/D,9.2,552,05:21:00,04:16:00,98,01:14:00,01:15:00,Reus,14,10.9,29,5,1828,Sí,32,62,6,2,0,0,426,2820,8
Telde,Las Palmas,102472,N/D,8.2,1945,1900-01-01 13:00:00,N/D,2563,43:00:00,N/D,Gran Canaria,127,10.9,26,15,N/D,No,18,69,4,N/D,1,2,389,nan,4
Terrassa,Barcelona,224114,8.3,10.2,620,06:00:00,03:26:00,28,00:37:00,00:47:00,"Josep Tarradellas
Barcelona-El Prat",170,34.8,29,1,N/D,No,73,26,1,1,0,0,472,2453,8
Toledo,Toledo,85085,36.4,7.9,75,00:56:00,01:00:00,686,06:37:00,03:45:00,"Adolfo Suárez 
Madrid-Barajas",174,84.0,34,1,1422,Sí,19,68,9,4,0,0,402,2815,6
Torrejón de Ardoz,Madrid,134733,11.7,10.4,32,00:34:00,00:29:00,594,05:37:00,03:08:00,"Adolfo Suárez 
Madrid-Barajas",174,12.9,33,1,N/D,No,18,68,9,N/D,0,0,397,2691,9
Torrente,Valencia,85142,11.7,8.1,352,03:48:00,02:17:00,365,03:41:00,03:24:00,València,89,11.6,31,6,N/D,No,31,63,5,N/D,0,0,426,2808,11
Torrevieja,Alicante,83547,N/D,8.8,460,04:25:00,04:53:00,571,05:41:00,10:30:00,"Alacant-Elx 
Miguel Hernández",119,43.9,29,6,N/D,No,14,71,12,0,0,0,394,3397,11
Valdemoro,Madrid,79100,1.3,9.3,30,00:29:00,00:30:00,636,06:00:00,03:22:00,"Adolfo Suárez 
Madrid-Barajas",174,35.3,33,0,1826,No,11,74,11,0,0,0,392,2691,9
València,Valencia,792492,20.4,11.3,356,03:50:00,02:00:00,348,03:34:00,03:00:00,València,89,10.3,30,6,2122,Sí,17,69,9,7,0,0,398,2808,11
Valladolid,Valladolid,295639,36.2,7.4,191,02:25:00,01:05:00,724,07:06:00,04:00:00,Valladolid,6,14.3,30,1,1578,No,48,43,5,2,0,0,433,3016,7
Vigo,Pontevedra,292374,16.4,9.5,591,05:40:00,05:06:00,1144,11:18:00,15:00:00,Vigo,8,13.5,26,7,N/D,No,27,66,4,1,0,0,415,3031,13
Vitoria-Gasteiz,Álava,253672,49.6,10.9,364,03:42:00,03:11:00,527,05:28:00,06:15:00,Vitoria,3,12.0,26,1,2515,No,59,35,3,0,0,0,450,2147,14
Zaragoza,Zaragoza,673010,20,8.9,319,03:24:00,01:27:00,308,03:08:00,01:52:00,Zaragoza,16,13.1,33,3,1714,Sí,36,63,2,4,0,0,438,2602,2
